[]
[('かがやくリザードン', 'K', '炎', '015/172', 'S12a')]
[('イーブイGX:SA', 'SR', '無', '188/173', 'SM12a')]
[('イツキ', 'SR', 'サポート', '189/173', 'SM12a')]
[('エリカのおもてなし', 'SR', 'サポート', '190/173', 'SM12a')]
[('カスミ&カンナ', 'SR', 'サポート', '191/173', 'SM12a')]
[('かんこうきゃく', 'SR', 'サポート', '192/173', 'SM12a')]
[('グリーンの戦略', 'SR', 'サポート', '193/173', 'SM12a')]
[('ジュジュベ&ハチクマン', 'SR', 'サポート', '194/173', 'SM12a')]
[('ハプウ', 'SR', 'サポート', '195/173', 'SM12a')]
[('ブルーの探索', 'SR', 'サポート', '196/173', 'SM12a')]
[('ホミカ', 'SR', 'サポート', '197/173', 'SM12a')]
[('マツリカ', 'SR', 'サポート', '198/173', 'SM12a')]
[('ヤーコン', 'SR', 'サポート', '199/173', 'SM12a')]
[('溶接工', 'SR', 'サポート', '200/173', 'SM12a')]
[('レッドの挑戦', 'SR', 'サポート', '201/173', 'SM12a')]
[('基本草エネルギー', 'SR', '基本エネルギー', '202/173', 'SM12a')]
[('基本炎エネルギー', 'SR', '基本エネルギー', '203/173', 'SM12a')]
[('基本水エネルギー', 'SR', '基本エネルギー', '204/173', 'SM12a')]
[('基本雷エネルギー', 'SR', '基本エネルギー', '205/173', 'SM12a')]
[('基本超エネルギー', 'SR', '基本エネルギー', '206/173', 'SM12a')]
[('基本闘エネルギー', 'SR', '基本エネルギー', '207/173', 'SM12a')]
[('基本悪エネルギー', 'SR', '基本エネルギー', '208/173', 'SM12a')]
[('基本鋼エネルギー', 'SR', '基本エネルギー', '209/173', 'SM12a')]
[('基本フェアリーエネルギー', 'SR', '基本エネルギー', '210/173', 'SM12a')]
[('ブースター:ミラー', 'CP', '炎', '019/173', 'SM12a-M')]
[('シャワーズ:ミラー', 'CP', '水', '033/173', 'SM12a-M')]
[('サンダース:ミラー', 'CP', '雷', '042/173', 'SM12a-M')]
[('リサイクルエネルギー:ミラー', 'CP', '特殊エネルギー', '173/173', 'SM12a-M')]
[('ヨワシGX', 'HR', '水', '211/173', 'SM12a')]
[('エーフィ&デオキシスGX', 'HR', '超', '212/173', 'SM12a')]
[('オーロット&ヨノワールGX', 'HR', '超', '213/173', 'SM12a')]
[('ジラーチGX', 'HR', '超', '214/173', 'SM12a')]
[('ブラッキー&ダークライGX', 'HR', '悪', '215/173', 'SM12a')]
[('マニューラGX', 'HR', '悪', '216/173', 'SM12a')]
[('メルメタルGX', 'HR', '鋼', '217/173', 'SM12a')]
[('トゲピー&ピィ&ププリンGX', 'HR', 'フェアリー', '218/173', 'SM12a')]
[('イーブイGX', 'HR', '無', '219/173', 'SM12a')]
[('レシラム&リザードンGX', 'UR', '炎', '220/173', 'SM12a')]
[('ピカチュウ&ゼクロムGX', 'UR', '雷', '221/173', 'SM12a')]
[('ミュウツー&ミュウGX', 'UR', '超', '222/173', 'SM12a')]
[('ゲッコウガ&ゾロアークGX', 'UR', '悪', '223/173', 'SM12a')]
[('ルカリオ&メルメタルGX', 'UR', '鋼', '224/173', 'SM12a')]
[('ガブリアス&ギラティナGX', 'UR', 'ドラゴン', '225/173', 'SM12a')]
[('ファイヤー&サンダー&フリーザーGX', 'UR', '無', '226/173', 'SM12a')]
[('アルセウス&ディアルガ&パルキアGX', 'RR', 'ドラゴン', '065/095', 'SM12')]
[('タッグコール', 'U', 'グッズ', '083/095', 'SM12')]
[('グズマ&ハラ', 'U', 'サポート', '087/095', 'SM12')]
[('ポケモン通信', 'TR', 'グッズ', '094/095', 'SM12')]
[('ウルガモスGX', 'SR', '炎', '096/095', 'SM12')]
[('オドリドリGX', 'SR', '超', '097/095', 'SM12')]
[('フライゴンGX', 'SR', '闘', '098/095', 'SM12')]
[('アルセウス&ディアルガ&パルキアGX', 'SR', 'ドラゴン', '099/095', 'SM12')]
[('アルセウス&ディアルガ&パルキアGX:SA', 'SR', 'ドラゴン', '100/095', 'SM12')]
[('アーゴヨン&アクジキングGX', 'SR', 'ドラゴン', '101/095', 'SM12')]
[('アーゴヨン&アクジキングGX:SA', 'SR', 'ドラゴン', '102/095', 'SM12')]
[('メガミミロップ&プリンGX', 'SR', '無', '103/095', 'SM12')]
[('メガミミロップ&プリンGX:SA', 'SR', '無', '104/095', 'SM12')]
[('グズマ&ハラ', 'SR', 'サポート', '105/095', 'SM12')]
[('シロナ&カトレア', 'SR', 'サポート', '106/095', 'SM12')]
[('マオ&スイレン', 'SR', 'サポート', '107/095', 'SM12')]
[('レッド&グリーン', 'SR', 'サポート', '108/095', 'SM12')]
[('ウルガモスGX', 'HR', '炎', '109/095', 'SM12')]
[('オドリドリGX', 'HR', '超', '110/095', 'SM12')]
[('フライゴンGX', 'HR', '闘', '111/095', 'SM12')]
[('アルセウス&ディアルガ&パルキアGX', 'HR', 'ドラゴン', '112/095', 'SM12')]
[('アーゴヨン&アクジキングGX', 'HR', 'ドラゴン', '113/095', 'SM12')]
[('メガミミロップ&プリンGX', 'HR', '無', '114/095', 'SM12')]
[('タッグコール', 'UR', 'グッズ', '115/095', 'SM12')]
[('しまめぐりのあかし', 'UR', 'グッズ', '116/095', 'SM12')]
[('巨大なカマド', 'UR', 'スタジアム', '117/095', 'SM12')]
[('ソルガレオ&ルナアーラGX', 'RR', '超', '020/049', 'SM11b')]
[('レシラム&ゼクロムGX', 'RR', 'ドラゴン', '036/049', 'SM11b')]
[('コータス', 'CHR', '炎', '050/049', 'SM11b')]
[('マニューラ', 'CHR', '水', '051/049', 'SM11b')]
[('ポッチャマ', 'CHR', '水', '052/049', 'SM11b')]
[('ヨワシ', 'CHR', '水', '053/049', 'SM11b')]
[('ピカチュウ', 'CHR', '雷', '054/049', 'SM11b')]
[('コイル', 'CHR', '雷', '055/049', 'SM11b')]
[('ドガース', 'CHR', '超', '056/049', 'SM11b')]
[('エルレイド', 'CHR', '超', '057/049', 'SM11b')]
[('ミミッキュ', 'CHR', '超', '058/049', 'SM11b')]
[('ドリュウズ', 'CHR', '闘', '059/049', 'SM11b')]
[('ハガネール', 'CHR', '鋼', '060/049', 'SM11b')]
[('ムーランド', 'CHR', '無', '061/049', 'SM11b')]
[('ラフレシアGX', 'SR', '草', '062/049', 'SM11b')]
[('ソルガレオ&ルナアーラGX', 'SR', '超', '063/049', 'SM11b')]
[('レシラム&ゼクロムGX', 'SR', 'ドラゴン', '064/049', 'SM11b')]
[('シルヴァディGX', 'SR', '無', '065/049', 'SM11b')]
[('Nの覚悟', 'SR', 'サポート', '066/049', 'SM11b')]
[('メイ', 'SR', 'サポート', '067/049', 'SM11b')]
[('リーリエの全力', 'SR', 'サポート', '068/049', 'SM11b')]
[('ラフレシアGX', 'HR', '草', '069/049', 'SM11b')]
[('ソルガレオ&ルナアーラGX', 'HR', '超', '070/049', 'SM11b')]
[('レシラム&ゼクロムGX', 'HR', 'ドラゴン', '071/049', 'SM11b')]
[('シルヴァディGX', 'HR', '無', '072/049', 'SM11b')]
[('スイレンのつりざお', 'UR', 'グッズ', '073/049', 'SM11b')]
[('リーリエのピッピ人形', 'UR', 'グッズ', '074/049', 'SM11b')]
[('無人発電所', 'UR', 'スタジアム', '075/049', 'SM11b')]
[('フシギバナ&ツタージャGX', 'RR', '草', '001/064', 'SM11a')]
[('リザードン&テールナーGX', 'RR', '炎', '008/064', 'SM11a')]
[('カメックス&ポッチャマGX', 'RR', '水', '016/064', 'SM11a')]
[('エネルギー回収', 'U', 'グッズ', '050/064', 'SM11a')]
[('おじょうさま', 'TR', 'サポート', '063/064', 'SM11a')]
[('フシギバナ&ツタージャGX', 'SR', '草', '065/064', 'SM11a')]
[('フシギバナ&ツタージャGX:SA', 'SR', '草', '066/064', 'SM11a')]
[('リザードン&テールナーGX', 'SR', '炎', '067/064', 'SM11a')]
[('リザードン&テールナーGX:SA', 'SR', '炎', '068/064', 'SM11a')]
[('カメックス&ポッチャマGX', 'SR', '水', '069/064', 'SM11a')]
[('カメックス&ポッチャマGX:SA', 'SR', '水', '070/064', 'SM11a')]
[('アローラペルシアンGX', 'SR', '悪', '071/064', 'SM11a')]
[('オーキド博士のセッティング', 'SR', 'サポート', '072/064', 'SM11a')]
[('ローラースケーター', 'SR', 'サポート', '073/064', 'SM11a')]
[('フシギバナ&ツタージャGX', 'HR', '草', '074/064', 'SM11a')]
[('リザードン&テールナーGX', 'HR', '炎', '075/064', 'SM11a')]
[('カメックス&ポッチャマGX', 'HR', '水', '076/064', 'SM11a')]
[('アローラペルシアンGX', 'HR', '悪', '077/064', 'SM11a')]
[('グレートキャッチャー', 'UR', 'グッズ', '078/064', 'SM11a')]
[('格闘道場', 'UR', 'スタジアム', '079/064', 'SM11a')]
[('ドローエネルギー', 'UR', '特殊エネルギー', '080/064', 'SM11a')]
[('カプ・テテフGX', 'D', '超', '008/031', 'SMM')]
[('グズマ', 'D', 'サポート', '024/031', 'SMM')]
[('ブラッキー&ダークライGX', 'D', '悪', '010/031', 'SMM')]
[('ヤドン&コダックGX', 'RR', '水', '011/094', 'SM11')]
[('ミュウツー&ミュウGX', 'RR', '超', '029/094', 'SM11')]
[('メガヤミラミ&バンギラスGX', 'RR', '悪', '054/094', 'SM11')]
[('ともだちてちょう', 'TR', 'グッズ', '091/094', 'SM11')]
[('かんこうきゃく', 'TR', 'サポート', '094/094', 'SM11')]
[('ヤドン&コダックGX', 'SR', '水', '095/094', 'SM11')]
[('ヤドン&コダックGX:SA', 'SR', '水', '096/094', 'SM11')]
[('ミュウツー&ミュウGX', 'SR', '超', '097/094', 'SM11')]
[('ミュウツー&ミュウGX:SA', 'SR', '超', '098/094', 'SM11')]
[('ラティオスGX', 'SR', '超', '099/094', 'SM11')]
[('プテラGX', 'SR', '闘', '100/094', 'SM11')]
[('メガヤミラミ&バンギラスGX', 'SR', '悪', '101/094', 'SM11')]
[('メガヤミラミ&バンギラスGX:SA', 'SR', '悪', '102/094', 'SM11')]
[('カイリューGX', 'SR', 'ドラゴン', '103/094', 'SM11')]
[('カスミのおねがい', 'SR', 'サポート', '104/094', 'SM11')]
[('きとうし', 'SR', 'サポート', '105/094', 'SM11')]
[('グリーンの戦略', 'SR', 'サポート', '106/094', 'SM11')]
[('ヤドン&コダックGX', 'HR', '水', '107/094', 'SM11')]
[('ミュウツー&ミュウGX', 'HR', '超', '108/094', 'SM11')]
[('ラティオスGX', 'HR', '超', '109/094', 'SM11')]
[('プテラGX', 'HR', '闘', '110/094', 'SM11')]
[('メガヤミラミ&バンギラスGX', 'HR', '悪', '111/094', 'SM11')]
[('カイリューGX', 'HR', 'ドラゴン', '112/094', 'SM11')]
[('プレシャスボール', 'UR', 'グッズ', '113/094', 'SM11')]
[('ジャイアントボム', 'UR', 'グッズ', '114/094', 'SM11')]
[('ウィークガードエネルギー', 'UR', '特殊エネルギー', '115/094', 'SM11')]
[('グラジオ', 'TR', 'サポート', '052/054', 'SM10b')]
[('リーリエ', 'TR', 'サポート', '053/054', 'SM10b')]
[('ルザミーネ', 'TR', 'サポート', '054/054', 'SM10b')]
[('モクロー&アローラナッシーGX', 'SR', '草', '055/054', 'SM10b')]
[('モクロー&アローラナッシーGX:SA', 'SR', '草', '056/054', 'SM10b')]
[('ケルディオGX', 'SR', '水', '057/054', 'SM10b')]
[('アーゴヨンGX', 'SR', 'ドラゴン', '058/054', 'SM10b')]
[('ファイヤー&サンダー&フリーザーGX', 'SR', '無', '059/054', 'SM10b')]
[('ファイヤー&サンダー&フリーザーGX:SA', 'SR', '無', '060/054', 'SM10b')]
[('かいじゅうマニア', 'SR', 'サポート', '061/054', 'SM10b')]
[('ムサシとコジロウ', 'SR', 'サポート', '062/054', 'SM10b')]
[('モクロー&アローラナッシーGX', 'HR', '草', '063/054', 'SM10b')]
[('ケルディオGX', 'HR', '水', '064/054', 'SM10b')]
[('アーゴヨンGX', 'HR', 'ドラゴン', '065/054', 'SM10b')]
[('ファイヤー&サンダー&フリーザーGX', 'HR', '無', '066/054', 'SM10b')]
[('Uターンボード', 'UR', 'グッズ', '067/054', 'SM10b')]
[('トキワの森', 'UR', 'スタジアム', '068/054', 'SM10b')]
[('リサイクルエネルギー', 'UR', '特殊エネルギー', '069/054', 'SM10b')]
[('カプ・テテフGX', 'D', '超', '010/035', 'SMJ')]
[('ネストボール', 'D', 'グッズ', '017/035', 'SMJ')]
[('フィールドブロアー', 'D', 'グッズ', '020/035', 'SMJ')]
[('レスキュータンカ', 'D', 'グッズ', '025/035', 'SMJ')]
[('グズマ', 'D', 'サポート', '027/035', 'SMJ')]
[('ライチュウ&アローラライチュウGX', 'RR', '雷', '008/054', 'SM10a')]
[('あなぬけのヒモ', 'TR', 'グッズ', '051/054', 'SM10a')]
[('ネストボール', 'TR', 'グッズ', '052/054', 'SM10a')]
[('ヒードランGX', 'SR', '炎', '055/054', 'SM10a')]
[('ライチュウ&アローラライチュウGX', 'SR', '雷', '056/054', 'SM10a')]
[('ライチュウ&アローラライチュウGX:SA', 'SR', '雷', '057/054', 'SM10a')]
[('クチートGX', 'SR', '鋼', '058/054', 'SM10a')]
[('ガブリアス&ギラティナGX', 'SR', 'ドラゴン', '059/054', 'SM10a')]
[('ガブリアス&ギラティナGX:SA', 'SR', 'ドラゴン', '060/054', 'SM10a')]
[('ギーマ', 'SR', 'サポート', '061/054', 'SM10a')]
[('コーチトレーナー', 'SR', 'サポート', '062/054', 'SM10a')]
[('ヒードランGX', 'HR', '炎', '063/054', 'SM10a')]
[('ライチュウ&アローラライチュウGX', 'HR', '雷', '064/054', 'SM10a')]
[('クチートGX', 'HR', '鋼', '065/054', 'SM10a')]
[('ガブリアス&ギラティナGX', 'HR', 'ドラゴン', '066/054', 'SM10a')]
[('タッグスイッチ', 'UR', 'グッズ', '067/054', 'SM10a')]
[('リセットスタンプ', 'UR', 'グッズ', '068/054', 'SM10a')]
[('くろおび', 'UR', 'グッズ', '069/054', 'SM10a')]
[('リザードンGX', 'D', '炎', '009/051', 'SML')]
[('ピカチュウ', 'D', '雷', '018/051', 'SML')]
[('ミュウツーGX', 'D', '超', '025/051', 'SML')]
[('ミュウ', 'D', '超', '026/051', 'SML')]
[('カプ・テテフGX', 'D', '超', '001/029', 'SMN')]
[('エネルギーリサイクル', 'D', 'グッズ', '002/029', 'SMN')]
[('ネストボール', 'D', 'グッズ', '007/029', 'SMN')]
[('フィールドブロアー', 'D', 'グッズ', '010/029', 'SMN')]
[('レスキュータンカ', 'D', 'グッズ', '013/029', 'SMN')]
[('アセロラ', 'D', 'サポート', '018/029', 'SMN')]
[('グズマ', 'D', 'サポート', '022/029', 'SMN')]
[('レインボーエネルギー', 'D', '特殊エネルギー', '029/029', 'SMN')]
[('レシラム&リザードンGX', 'RR', '炎', '007/095', 'SM10')]
[('あなぬけのヒモ', 'U', 'グッズ', '079/095', 'SM10')]
[('レスキュータンカ', 'TR', 'グッズ', '093/095', 'SM10')]
[('シロナ', 'TR', 'サポート', '095/095', 'SM10')]
[('レシラム&リザードンGX', 'SR', '炎', '096/095', 'SM10')]
[('レシラム&リザードンGX:SA', 'SR', '炎', '097/095', 'SM10')]
[('ベトベトン&アローラベトベトンGX', 'SR', '超', '098/095', 'SM10')]
[('ベトベトン&アローラベトベトンGX:SA', 'SR', '超', '099/095', 'SM10')]
[('マーシャドー&カイリキーGX', 'SR', '闘', '100/095', 'SM10')]
[('マーシャドー&カイリキーGX:SA', 'SR', '闘', '101/095', 'SM10')]
[('ドンカラスGX', 'SR', '悪', '102/095', 'SM10')]
[('エルフーンGX', 'SR', 'フェアリー', '103/095', 'SM10')]
[('ペルシアンGX', 'SR', '無', '104/095', 'SM10')]
[('サカキの追放', 'SR', 'サポート', '105/095', 'SM10')]
[('溶接工', 'SR', 'サポート', '106/095', 'SM10')]
[('レッドの挑戦', 'SR', 'サポート', '107/095', 'SM10')]
[('レシラム&リザードンGX', 'HR', '炎', '108/095', 'SM10')]
[('ベトベトン&アローラベトベトンGX', 'HR', '超', '109/095', 'SM10')]
[('マーシャドー&カイリキーGX', 'HR', '闘', '110/095', 'SM10')]
[('ドンカラスGX', 'HR', '悪', '111/095', 'SM10')]
[('エルフーンGX', 'HR', 'フェアリー', '112/095', 'SM10')]
[('ペルシアンGX', 'HR', '無', '113/095', 'SM10')]
[('炎の結晶', 'UR', 'グッズ', '114/095', 'SM10')]
[('戒めの祠', 'UR', 'スタジアム', '115/095', 'SM10')]
[('トリプル加速エネルギー', 'UR', '特殊エネルギー', '116/095', 'SM10')]
[('ハイパーボール', 'TR', 'グッズ', '051/054', 'SM9b')]
[('アセロラ', 'TR', 'サポート', '054/054', 'SM9b')]
[('フェローチェ&マッシブーンGX', 'SR', '草', '055/054', 'SM9b')]
[('フェローチェ&マッシブーンGX:SA', 'SR', '草', '056/054', 'SM9b')]
[('カメックスGX', 'SR', '水', '057/054', 'SM9b')]
[('ルカリオ&メルメタルGX', 'SR', '鋼', '058/054', 'SM9b')]
[('ルカリオ&メルメタルGX:SA', 'SR', '鋼', '059/054', 'SM9b')]
[('テッカグヤGX', 'SR', '無', '060/054', 'SM9b')]
[('ブルーの探索', 'SR', 'サポート', '061/054', 'SM9b')]
[('マーレイン', 'SR', 'サポート', '062/054', 'SM9b')]
[('フェローチェ&マッシブーンGX', 'HR', '草', '063/054', 'SM9b')]
[('カメックスGX', 'HR', '水', '064/054', 'SM9b')]
[('ルカリオ&メルメタルGX', 'HR', '鋼', '065/054', 'SM9b')]
[('テッカグヤGX', 'HR', '無', '066/054', 'SM9b')]
[('ビーストブリンガー', 'UR', 'グッズ', '067/054', 'SM9b')]
[('メタルコアバリア', 'UR', 'グッズ', '068/054', 'SM9b')]
[('テンガン山', 'UR', 'スタジアム', '069/054', 'SM9b')]
[('イワークGX', 'D', '闘', '011/031', 'SMK')]
[('タケシのガッツ', 'D', 'サポート', '024/031', 'SMK')]
[('スターミーGX', 'D', '水', '004/031', 'SMK')]
[('ネストボール', 'D', 'グッズ', '017/031', 'SMK')]
[('カスミの水さばき', 'D', 'サポート', '021/031', 'SMK')]
[('デデンネGX', 'RR', '雷', '016/055', 'SM9a')]
[('サーナイト&ニンフィアGX', 'RR', 'フェアリー', '031/055', 'SM9a')]
[('グズマ', 'TR', 'サポート', '055/055', 'SM9a')]
[('モルフォンGX', 'SR', '草', '056/055', 'SM9a')]
[('デデンネGX', 'SR', '雷', '057/055', 'SM9a')]
[('ゲッコウガ&ゾロアークGX', 'SR', '悪', '058/055', 'SM9a')]
[('ゲッコウガ&ゾロアークGX:SA', 'SR', '悪', '059/055', 'SM9a')]
[('サーナイト&ニンフィアGX', 'SR', 'フェアリー', '060/055', 'SM9a')]
[('サーナイト&ニンフィアGX:SA', 'SR', 'フェアリー', '061/055', 'SM9a')]
[('アンズ', 'SR', 'サポート', '062/055', 'SM9a')]
[('キョウの罠', 'SR', 'サポート', '063/055', 'SM9a')]
[('モルフォンGX', 'HR', '草', '064/055', 'SM9a')]
[('デデンネGX', 'HR', '雷', '065/055', 'SM9a')]
[('ゲッコウガ&ゾロアークGX', 'HR', '悪', '066/055', 'SM9a')]
[('サーナイト&ニンフィアGX', 'HR', 'フェアリー', '067/055', 'SM9a')]
[('電磁レーダー', 'UR', 'グッズ', '068/055', 'SM9a')]
[('ポケギア3.0', 'UR', 'グッズ', '069/055', 'SM9a')]
[('エーテルパラダイス保護区', 'UR', 'スタジアム', '070/055', 'SM9a')]
[('ゲンガー&ミミッキュGX', 'RR', '超', '038/095', 'SM9')]
[('ラティアス&ラティオスGX', 'RR', 'ドラゴン', '060/095', 'SM9')]
[('イーブイ&カビゴンGX', 'RR', '無', '066/095', 'SM9')]
[('あなぬけのヒモ', 'U', 'グッズ', '077/095', 'SM9')]
[('フィールドブロアー', 'TR', 'グッズ', '093/095', 'SM9')]
[('セレビィ&フシギバナGX', 'SR', '草', '096/095', 'SM9')]
[('セレビィ&フシギバナGX:SA', 'SR', '草', '097/095', 'SM9')]
[('コイキング&ホエルオーGX', 'SR', '水', '098/095', 'SM9')]
[('コイキング&ホエルオーGX:SA', 'SR', '水', '099/095', 'SM9')]
[('ピカチュウ&ゼクロムGX', 'SR', '雷', '100/095', 'SM9')]
[('ピカチュウ&ゼクロムGX:SA', 'SR', '雷', '101/095', 'SM9')]
[('ゲンガー&ミミッキュGX', 'SR', '超', '102/095', 'SM9')]
[('ゲンガー&ミミッキュGX:SA', 'SR', '超', '103/095', 'SM9')]
[('ラティアス&ラティオスGX', 'SR', 'ドラゴン', '104/095', 'SM9')]
[('ラティアス&ラティオスGX:SA', 'SR', 'ドラゴン', '105/095', 'SM9')]
[('イーブイ&カビゴンGX', 'SR', '無', '106/095', 'SM9')]
[('エリカのおもてなし', 'SR', 'サポート', '107/095', 'SM9')]
[('タケシのガッツ', 'SR', 'サポート', '108/095', 'SM9')]
[('ナツメの暗示', 'SR', 'サポート', '109/095', 'SM9')]
[('セレビィ&フシギバナGX', 'HR', '草', '110/095', 'SM9')]
[('コイキング&ホエルオーGX', 'HR', '水', '111/095', 'SM9')]
[('ピカチュウ&ゼクロムGX', 'HR', '雷', '112/095', 'SM9')]
[('ゲンガー&ミミッキュGX', 'HR', '超', '113/095', 'SM9')]
[('ラティアス&ラティオスGX', 'HR', 'ドラゴン', '114/095', 'SM9')]
[('イーブイ&カビゴンGX', 'HR', '無', '115/095', 'SM9')]
[('ポケモン通信', 'UR', 'グッズ', '116/095', 'SM9')]
[('ジャッジマンホイッスル', 'UR', 'グッズ', '117/095', 'SM9')]
[('せせらぎの丘', 'UR', 'スタジアム', '118/095', 'SM9')]
[('ネストボール', 'D', 'グッズ', '024/038', 'SMI')]
[('グズマ', 'D', 'サポート', '031/038', 'SMI')]
[('カプ・テテフGX', 'RR', '超', '044/150', 'SM8b')]
[('ウソッキー', 'CP', '闘', '054/150', 'SM8b')]
[('エネルギーリサイクル', 'CP', 'グッズ', '113/150', 'SM8b')]
[('フィールドブロアー', 'CP', 'グッズ', '117/150', 'SM8b')]
[('レスキュータンカ', 'CP', 'グッズ', '120/150', 'SM8b')]
[('アセロラ', 'CP', 'サポート', '128/150', 'SM8b')]
[('グズマ', 'CP', 'サポート', '130/150', 'SM8b')]
[('エーテル財団職員', 'SR', 'サポート', '151/150', 'SM8b')]
[('グズマ', 'SR', 'サポート', '152/150', 'SM8b')]
[('シロナ', 'SR', 'サポート', '153/150', 'SM8b')]
[('釣り人', 'SR', 'サポート', '154/150', 'SM8b')]
[('ノボリとクダリ', 'SR', 'サポート', '155/150', 'SM8b')]
[('やまおとこ', 'SR', 'サポート', '156/150', 'SM8b')]
[('ルミタン', 'SR', 'サポート', '157/150', 'SM8b')]
[('ラジュルネ', 'SR', 'サポート', '158/150', 'SM8b')]
[('ルスワール', 'SR', 'サポート', '159/150', 'SM8b')]
[('ラニュイ', 'SR', 'サポート', '160/150', 'SM8b')]
[('ストライク', 'S', '草', '161/150', 'SM8b')]
[('モクロー', 'S', '草', '162/150', 'SM8b')]
[('ヒトカゲ', 'S', '炎', '166/150', 'SM8b')]
[('リザード', 'S', '炎', '167/150', 'SM8b')]
[('アローラロコン', 'S', '水', '168/150', 'SM8b')]
[('ウパー', 'S', '水', '169/150', 'SM8b')]
[('ヌオー', 'S', '水', '170/150', 'SM8b')]
[('ケロマツ', 'S', '水', '171/150', 'SM8b')]
[('ゲコガシラ', 'S', '水', '172/150', 'SM8b')]
[('ビリリダマ', 'S', '雷', '173/150', 'SM8b')]
[('ハブネーク', 'S', '超', '175/150', 'SM8b')]
[('カラマネロ', 'S', '超', '178/150', 'SM8b')]
[('ウソッキー', 'S', '闘', '180/150', 'SM8b')]
[('リオル', 'S', '闘', '181/150', 'SM8b')]
[('ルカリオ', 'S', '闘', '182/150', 'SM8b')]
[('イワンコ', 'S', '闘', '183/150', 'SM8b')]
[('ゾロア', 'S', '悪', '185/150', 'SM8b')]
[('ラルトス', 'S', 'フェアリー', '194/150', 'SM8b')]
[('キルリア', 'S', 'フェアリー', '195/150', 'SM8b')]
[('フカマル', 'S', 'ドラゴン', '198/150', 'SM8b')]
[('ガブリアス', 'S', 'ドラゴン', '200/150', 'SM8b')]
[('イーブイ', 'S', '無', '201/150', 'SM8b')]
[('リーフィアGX', 'SSR', '草', '206/150', 'SM8b')]
[('ジュナイパーGX', 'SSR', '草', '207/150', 'SM8b')]
[('グソクムシャGX', 'SSR', '草', '208/150', 'SM8b')]
[('リザードンGX', 'SSR', '炎', '209/150', 'SM8b')]
[('ホウオウGX', 'SSR', '炎', '210/150', 'SM8b')]
[('レシラムGX', 'SSR', '炎', '211/150', 'SM8b')]
[('バクガメスGX', 'SSR', '炎', '212/150', 'SM8b')]
[('アローラキュウコンGX', 'SSR', '水', '213/150', 'SM8b')]
[('フリーザーGX', 'SSR', '水', '214/150', 'SM8b')]
[('グレイシアGX', 'SSR', '水', '215/150', 'SM8b')]
[('ゲッコウガGX', 'SSR', '水', '216/150', 'SM8b')]
[('マルマインGX', 'SSR', '雷', '217/150', 'SM8b')]
[('デンジュモクGX', 'SSR', '雷', '218/150', 'SM8b')]
[('ミュウツーGX', 'SSR', '超', '219/150', 'SM8b')]
[('エーフィGX', 'SSR', '超', '220/150', 'SM8b')]
[('ジュペッタGX', 'SSR', '超', '221/150', 'SM8b')]
[('ウツロイドGX', 'SSR', '超', '222/150', 'SM8b')]
[('アーゴヨンGX', 'SSR', '超', '223/150', 'SM8b')]
[('ルカリオGX', 'SSR', '闘', '224/150', 'SM8b')]
[('ジガルデGX', 'SSR', '闘', '225/150', 'SM8b')]
[('ルガルガンGX', 'SSR', '闘', '226/150', 'SM8b')]
[('ルガルガンGX', 'SSR', '闘', '227/150', 'SM8b')]
[('マッシブーンGX', 'SSR', '闘', '228/150', 'SM8b')]
[('ブラッキーGX', 'SSR', '悪', '229/150', 'SM8b')]
[('ダークライGX', 'SSR', '悪', '230/150', 'SM8b')]
[('ゾロアークGX', 'SSR', '悪', '231/150', 'SM8b')]
[('アクジキングGX', 'SSR', '悪', '232/150', 'SM8b')]
[('ハッサムGX', 'SSR', '鋼', '233/150', 'SM8b')]
[('メタグロスGX', 'SSR', '鋼', '234/150', 'SM8b')]
[('カミツルギGX', 'SSR', '鋼', '235/150', 'SM8b')]
[('ツンデツンデGX', 'SSR', '鋼', '236/150', 'SM8b')]
[('サーナイトGX', 'SSR', 'フェアリー', '237/150', 'SM8b')]
[('ニンフィアGX', 'SSR', 'フェアリー', '238/150', 'SM8b')]
[('チルタリスGX', 'SSR', 'ドラゴン', '239/150', 'SM8b')]
[('レックウザGX', 'SSR', 'ドラゴン', '240/150', 'SM8b')]
[('オンバーンGX', 'SSR', 'ドラゴン', '241/150', 'SM8b')]
[('シルヴァディGX', 'SSR', '無', '242/150', 'SM8b')]
[('ジジーロンGX', 'SSR', '無', '243/150', 'SM8b')]
[('ウソッキー*ミラー', 'CP', '闘', '054/150', 'SM8b-M')]
[('イーブイ:ミラー', 'CP', '無', '105/150', 'SM8b-M')]
[('エネルギーリサイクル:ミラー', 'CP', 'グッズ', '113/150', 'SM8b-M')]
[('フィールドブロアー:ミラー', 'CP', 'グッズ', '117/150', 'SM8b-M')]
[('レスキュータンカ:ミラー', 'CP', 'グッズ', '120/150', 'SM8b-M')]
[('アセロラ:ミラー', 'CP', 'サポート', '128/150', 'SM8b-M')]
[('グズマ:ミラー', 'CP', 'サポート', '130/150', 'SM8b-M')]
[('カプ・ブルルGX', 'UR', '草', '244/150', 'SM8b')]
[('カプ・レヒレGX', 'UR', '水', '245/150', 'SM8b')]
[('カプ・コケコGX', 'UR', '雷', '246/150', 'SM8b')]
[('カプ・テテフGX', 'UR', '超', '247/150', 'SM8b')]
[('ルナアーラGX', 'UR', '超', '248/150', 'SM8b')]
